Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,13-Feb-12
Charter National Bank and Trust ,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,13-Feb-12
BankEast,Knoxville,TN,19869,U.S.Bank National Association,27-Jan-12,31-Jan-12
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,31-Jan-12
Tennessee Commerce Bank ,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,31-Jan-12
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,15-Feb-12
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,27-Jan-12
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,27-Jan-12
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,27-Jan-12
Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,10-Feb-12
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,10-Feb-12
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,10-Feb-12
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,10-Feb-12
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,10-Feb-12
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,10-Feb-12
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,4-Nov-11,10-Feb-12
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,10-Feb-12
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,10-Feb-12
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,10-Feb-12
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,21-Oct-11,10-Feb-12
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,21-Oct-11,10-Feb-12
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,14-Oct-11,10-Feb-12
First State Bank,Cranford,NJ,58046,Northfield Bank,14-Oct-11,10-Feb-12
"Blue Ridge Savings Bank, Inc. ",Asheville,NC,32347,Bank of North Carolina,14-Oct-11,10-Feb-12
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,14-Oct-11,10-Feb-12
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,7-Oct-11,10-Feb-12
The RiverBank,Wyoming,MN,10216,Central Bank,7-Oct-11,10-Feb-12
First International Bank,Plano,TX,33513,American First National Bank,30-Sep-11,10-Feb-12
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,10-Feb-12
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,23-Sep-11,10-Feb-12
First National Bank of Florida,Milton,FL,25155,CharterBank,9-Sep-11,10-Feb-12
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2-Sep-11,10-Feb-12
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2-Sep-11,10-Feb-12
First Choice Bank ,Geneva,IL,57212,Inland Bank & Trust,19-Aug-11,10-Feb-12
First Southern National Bank ,Statesboro,GA,57239,Heritage Bank of the South,19-Aug-11,10-Feb-12
Lydian Private Bank ,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",19-Aug-11,10-Feb-12
Public Savings Bank ,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",18-Aug-11,10-Feb-12
The First National Bank of Olathe ,Olathe,KS,4744,Enterprise Bank & Trust,12-Aug-11,10-Feb-12
Bank of Whitman ,Colfax,WA,22528,Columbia State Bank,5-Aug-11,10-Feb-12
Bank of Shorewood ,Shorewood,IL,22637,Heartland Bank and Trust Company,5-Aug-11,10-Feb-12
Integra Bank National Association ,Evansville,IN,4392,Old National Bank,29-Jul-11,10-Feb-12
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,29-Jul-11,10-Feb-12
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,29-Jul-11,10-Feb-12
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",22-Jul-11,10-Feb-12
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,22-Jul-11,10-Feb-12
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,22-Jul-11,10-Feb-12
Summit Bank,Prescott,AZ,57442,The Foothills Bank,15-Jul-11,10-Feb-12
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",15-Jul-11,10-Feb-12
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,15-Jul-11,10-Feb-12
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,15-Jul-11,10-Feb-12
Signature Bank,Windsor,CO,57835,Points West Community Bank,8-Jul-11,10-Feb-12
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,8-Jul-11,10-Feb-12
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,8-Jul-11,10-Feb-12
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,24-Jun-11,14-Sep-11
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,17-Jun-11,14-Sep-11
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,17-Jun-11,14-Sep-11
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,2-Nov-11
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,27-May-11,15-Dec-11
Summit Bank,Burlington,WA,513,Columbia State Bank,20-May-11,15-Dec-11
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",20-May-11,14-Sep-11
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",20-May-11,14-Sep-11
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",6-May-11,14-Sep-11
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,29-Apr-11,14-Sep-11
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,29-Apr-11,14-Sep-11
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,29-Apr-11,14-Sep-11
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,14-Sep-11
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,14-Sep-11
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,15-Apr-11,23-Nov-11
Rosemount National Bank,Rosemount,MN,24099,Central Bank,15-Apr-11,14-Sep-11
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",15-Apr-11,14-Sep-11
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,15-Apr-11,14-Sep-11
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,15-Apr-11,14-Sep-11
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,14-Sep-11
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,8-Apr-11,15-Dec-11
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,14-Sep-11
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,19-May-11
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,11-Mar-11,20-May-11
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,11-Mar-11,27-Apr-11
